#STARTDIALOGUE				
Hello Mr. Wilkins. How are you today?	how are you	[ Pain2 ]Well I would be doing pretty well if my back weren't hurting so badly.	how are you	True
I'm sorry to hear that your back is hurting!	i am sorry	Thanks.	i am sorry	True
Besides your back, is there anything else that you would like to talk about today?	any other problems	The occasional need to urinate more frequently AddTopic(~complaint2) # adds next complaint to interesting topics so when did that happen? goes to complaint2	any other problems	True
Okay. We have about 15 minutes today to talk about your back pain and frequent urinations,. Does that plan sound good to you?	today we have 15 minutes	I'm afraid I don't understand that question.	none	False
We have about 15 minutes together today, does that plan sound okay?	ok then	Thank you.	hopefully we can help you	False
Great! Can you tell me more about your back pain?	tell me more about your back pain	My buddy lives on the second floor in an apartment building.  We needed to bring everything down and there were only 3 of us.  I bent down to help lift the couch and my back has been hurting ever since.	tell me more about your back pain	True
How long ago was this?	when did the pain start	The pain started about four or five days ago.	when did the pain start	True
Can you describe the pain for me?	describe the pain	It's a dull ache right in the middle of my lower back.	describe the pain	True
Can you point to the spot on your back?	can you point to the pain	I'm afraid I don't understand that question.	none	False
Is there anything that you do that makes the pain worse?	what makes the pain worse	[ Pain3 ]Bending down and moving makes it feel a lot worse.	what makes the pain worse	True
Is there anything that you do that makes the pain better?	what makes the pain better	[ Sadness2 ]The only thing that seems to help some is ibuprofen, and that doesn't help all that much.	what makes the pain better	True
#STARTDIALOGUE				
Hello, my name is Student Doctor Janice	i am doctor winslow	Nice to meet you Doctor Janice	i am doctor winslow	True
Can you confirm your first and last name for me?	what is your name	I'm sorry, I don't understand that question. Would you restate it?	none	False
Please verify your full name and date of birth	name and date of birth	Jim Wilkins and I was born August 10, 1962.	name and date of birth	True
Thank you. So Mr. Wilkins, what brings you in today?	what brings you in today	I was hoping you could help me with my back pain, it really hurts! It has been awful.   I can barely even tie my shoes.	what brings you in today	True
I'm so sorry to hear that. Is there anything else besides your foot you would like to discuss today?	any other problems	The occasional need to urinate more frequently AddTopic(~complaint2) # adds next complaint to interesting topics so when did that happen? goes to complaint2	any other problems	True
So, tell me more about your foot pain	tell me more about your back pain	My buddy lives on the second floor in an apartment building.  We needed to bring everything down and there were only 3 of us.  I bent down to help lift the couch and my back has been hurting ever since.	tell me more about your back pain	True
So you have back and foot pain. How long ago did this start?	were you doing anything when the pain started	A few days ago I was helping one of my friends lift some furniture and all of a sudden I felt a sharp pain in my back.	were you doing anything when the pain started	True
Okay, and have you taken anything for the pain?	what makes the pain better	I tried some ibuprofen, but I don't think that is helping very much.	what makes the pain better	True
is there anything that makes the pain better?	what makes the pain better	[ Sadness2 ]The only thing that seems to help some is ibuprofen, and that doesn't help all that much.	what makes the pain better	True
I'm sorry to hear that. Is there anything that makes the pain worse?	what makes the pain worse	[ Pain3 ]Bending down and moving makes it feel a lot worse.	what makes the pain worse	True
Is this something that you have seen a doctor about before?	have you had back pain before	I had some back pain about 4 or 5 years ago, but that was fine after one day and one tylenol.	have you had back pain before	True
Have you had any past hospitilizations?	have you ever been in the hospital	I'm sorry, I don't understand that question. Would you restate it?	none	False
What about any immunizations?	are you current on vaccinations	I am up to date.	are you current on vaccinations	True
Do you take any other medications except for the tylenol for pain?	are you taking any other medication for pain	No.	are you taking any other medication for pain	True
Do you have any  allergies?	do you have any allergies	I am not allergic to anything that I know of	do you have any allergies	True
Do you know if you've had any allergic reactions to medications?	do you have any allergies	I am not allergic to anything that I know of	do you have any allergies	True
And how old are you?	how old are you	I am 53.	how old are you	True
How would you say your general health is, except your foot and back?	are you healthy	I am pretty healthy. When I came here last year the doctor checked me out and said everything looked good.	are you healthy	True
That's great. Can you tell me about any siblings? Age and their health?	do you have siblings	I am pretty healthy. When I came here last year the doctor checked me out and said everything looked good.	are you healthy	False
What about your family? Any brothers and sisters?	do you have siblings	I have no brothers or sisters.	do you have siblings	True
How old is your mom and is she still alive?	how old are your parents	I have no brothers or sisters.	unknown	False
What about your parents?	are your parents healthy	My parents are both doing well. They've always been really healthy.	are your parents healthy	True
How old is your dad?	how old are your parents	My mom is 72 and my dad is 75.	how old are your parents	True
Do your mom or dad have any health problems? sicknesses? 	are your parents healthy	I'm sorry, I don't understand that question. Would you restate it?	none	False
Great. What about any children? 	do you have any children	I have no children.	do you have any children	True
Are you married?	are you married	I'm single.	are you married	True
What about your grandparents on your dad's side?	tell me about your grandparents	My parents are both doing well. They've always been really healthy.	are your parents healthy	False
What about your father's parents? 	tell me about your grandparents	My parents are both doing well. They've always been really healthy.	are your parents healthy	False
Who do you live with?	who do you live with	I live alone.	who do you live with	True
Where do you work?	where do you work	[ Happiness2 ]I have my own auto repair garage.	where do you work	True
That's great. How is work? 	how is work	Work has been good.  I have been developing a strong customer base.  I have been working on a vw beetle restoration and some repairs.  I haven't been able to keep up with any of that since this started though.	how is work	True
I'm sorry to hear, that must be very tough	that must be hard	It is challenging.	that must be hard	True
What about your diet?	how is your diet	I think my diet is OK. I don't eat salads all the time but I generally try to eat healthy foods.	how is your diet	True
That's great. Just a couple salads here and there could help	good	I'm afraid I don't understand that question.	none	False
What about your physical activity?	do you exercise	Don't exercise that much. Occasionally I go jogging or for a long walk.  I am always on my feet for work though.	do you exercise	True
Great. Do you smoke cigarretes? 	do you smoke	[ Contempt1 ]No.  I always hated the smell.	do you smoke	True
Good. What about alcohol? 	do you drink	I'm afraid I don't understand that question.	none	False
Do you do any drugs like marijuana?	do you use illegal drugs	[ Contempt4 ]No, never.  I have seen too many people go down that path.  I never touch the stuff.	do you use illegal drugs	True
Great. Are you sexually active?	are you sexually active	I am not currently  sexually active.	are you sexually active	True
How many partners have you had in the past?	how many sexual partners	I haven't had any this year, but do you mean ever.	how many sexual partners	True
I mean ever	none	I'm sorry, I don't understand that question. Would you restate it?	none	True
How many sexual partners have you had in your life?	none	I haven't had any this year, but do you mean ever.	how many sexual partners	False
Yes, how many sexual partners have you ever had?	none	I haven't had any this year, but do you mean ever.	how many sexual partners	False
Generally, would you consider yourself a happy person?	are you happy	I am happy.	are you happy	True
What do you do for fun?	what do you do for fun	I like to watch football and sometimes get together with friends.	what do you do for fun	True
Good. When you are stressed, how do you handle it?	are you stressed	I really don't get stressed. If I do get a little stressed, I just work on one of my cars to relax.	are you stressed	True
Great. Well that's all my questions, do you have any questions for me?	do you have any questions	Print(  [No] [No, I think that's all. Thank you for your time])	do you have any questions	True
Thank you for your time! I'll take these to the doctor	i'll go report to the doctor	Ok I hope you guys can figure something out.	i'll go report to the doctor	True
#STARTDIALOGUE				
Hello, my name is student doctor Janice	i am doctor winslow	Nice to meet you Doctor Janice	i am doctor winslow	True
Can you confirm your full name and date of birth?	name and date of birth	Jim Wilkins and I was born August 10, 1962.	name and date of birth	True
What brings you in today, Mr. Wilkins?	what brings you in today	I was hoping you could help me with my back pain, it really hurts! It has been awful.   I can barely even tie my shoes.	what brings you in today	True
Oh that sounds terrible. Can you show me where on your back it hurts?	can you point to the pain	I'm not able to do that but the pain is in the middle of my lower back.  It is right at the bottom and a little further up.	can you point to the pain	True
When did this pain start?	when did the pain start	The pain started about four or five days ago.	when did the pain start	True
What were you doing when it started	were you doing anything when the pain started	A few days ago I was helping one of my friends lift some furniture and all of a sudden I felt a sharp pain in my back.	were you doing anything when the pain started	True
Does the pain move anywhere or does it stay in your lower back	is the pain in your upper or lower back	It is mostly at the bottom, just below my jeans here.  Maybe above it some too.	is the pain in your upper or lower back	True
Is it deep inside or kind of on the surface pain?	describe the pain	It is in the middle of my lower back.	is the pain on one side	False
Is it deep or superficial pain?	describe the pain	It is in the middle of my lower back.	is the pain on one side	False
Is there anything unusual that you notice about the pain?	none	My joints do not hurt.	unknown	False
If you had to rate your pain on a scale of 1 to 10, 10 being the worst, how would you rate your pain	can you rate the pain	[ Pain2 ]Right now, I would call my pain a 7. When I take the ibuprofen, it goes down to about a 5 or 6.	can you rate the pain	True
Oh, you take ibuprofen? How often do you take it	how often do you take the ibuprofen	[ Pain1 ]It hurts quite a bit now, although not as bad as when I twist or something.  Right now it is mostly stiff.	how is your pain now	False
How often do you take ibuprofen?	how often do you take the ibuprofen	I just did what it said on the bottle, two every 8 hours or so.	how often do you take the ibuprofen	True
Has that helped the pain?	did the ibuprofen help	It helped some, but it doesn't make the pain go away.	did the ibuprofen help	True
Has the pain been getting better, worse, or staying the same?	is the pain improving	[ Fear2 ]I don't know if it is getting worse or not. It pretty much just hurts all the time.	is the pain improving	True
How much of a dosage are you taking for the ibuprofen?	how much ibuprofen have you taken	I have been taking the ibuprofen ever since I hurt my back.  I just did what it said on the bottle, two every 8 hours or so.  I have not taken it today.	how much ibuprofen have you taken	True
Is there anything that makes the pain worse?	what makes the pain worse	Thank you for your concern.	that must be awful	False
Is there anything that makes the pain worse?	what makes the pain worse	Thank you for your concern.	that must be awful	False
Does anything make it better?	what makes the pain better	[ Sadness2 ]The only thing that seems to help some is ibuprofen, and that doesn't help all that much.	what makes the pain better	True
Does anythign make it worse?	what makes the pain worse	[ Pain3 ]Bending down and moving makes it feel a lot worse.	what makes the pain worse	True
Do you have any other symptoms besides the pain?	are you having any other pain	What? Only the pain in my lower back.	are you having any other pain	True
Okay, I'm going to ask you about your past history to get a better understanding abut your health	i have more questions	Ok, sure.	i have more questions	True
How would you say your general healt is, except for your current back?	are you healthy	I'm afraid I don't understand that question.	none	False
How would you say your general health is?	are you healthy	I am pretty healthy. When I came here last year the doctor checked me out and said everything looked good.	are you healthy	True
Have you had any past surgeries?	any prior surgeries	I have never had any surgeries.  I have gotten stitches a few times when I have done stupid things like slice my finger, but I haven't had any in years.	any prior surgeries	True
What about any past hospitilizations? 	have you ever been in the hospital	I'm sorry, I don't understand that question. Would you restate it?	none	False
Are there any other medical problems that a doctor has treated you for?	do you have any medical problems	I really don't have any chronic type problems. This back pain is really the worst thing I have had.	do you have any medical problems	True
Do you have any environmental allergies? 	do you have any allergies	I am not allergic to anything that I know of.	do you have any allergies	True
Do you have any allergies to medcations?	do you have any allergies	I am not allergic to anything that I know of	do you have any allergies	True
Have you had any bad reactions to medications?	do you have any allergies	I'm afraid I don't understand that question.	none	False
What about any childhood illnesses?	do you have any medical problems	I really don't have any chronic type problems. This back pain is really the worst thing I have had.	do you have any medical problems	True
What about any major injuries?	have you had an accident	I have had a couple of minor car accidents but nothing that injured me. But my back pain was not really from an accident.	have you had an accident	True
Do you take any other medicine?	are you taking any other medication	I am taking baby aspirin once a day as a preventative for my heart. It was prescribed by my doctor. She said it would be a good idea at my age.	are you taking any other medication	True
#STARTDIALOGUE				
hi I am ZHeng Hong Tan, a med sctudent part of your health care team	want to ask about	Sounds good.	want to ask about	True
Can I have your full name and date of birth?	name and date of birth	Jim Wilkins and I was born August 10, 1962.	name and date of birth	True
How has your day been?	how has your day been going	My day has been just fine, thanks for asking.	how has your day been going	True
Dones anything fun lately?	what do you do for fun	I like to watch football and sometimes get together with friends.	what do you do for fun	True
I love football, who do you root for?	none	I like their chances this season, especially with that new freshman.	what do you think about the buckeyes	False
Awesome! So what can I do for you today?	what brings you in today	I was hoping you could help me with my back pain, it really hurts! It has been awful.   I can barely even tie my shoes.	what brings you in today	True
Oh. I'm so sorry to hear about that. It sounds awful	i am sorry	I'm afraid I don't understand that question.	none	False
Your back pain is something that we'll address later but I was wondering if you have any other questions or concerns for this visit?	any other problems	The occasional need to urinate more frequently AddTopic(~complaint2) # adds next complaint to interesting topics so when did that happen? goes to complaint2	any other problems	True
#STARTDIALOGUE				
Hello Mr. Wilkins, how was your drive over this afternoon?	hello	Hello Doctor.  I am so glad to see you.	hello	True
Well Mr. Wilkins, we have 10 minutes to talk about your back pain today. Is there anything else that you would like to discuss?	any other problems	The occasional need to urinate more frequently AddTopic(~complaint2) # adds next complaint to interesting topics so when did that happen? goes to complaint2	any other problems	True
Please tell me more about this	tell me more about your back pain	My buddy lives on the second floor in an apartment building.  We needed to bring everything down and there were only 3 of us.  I bent down to help lift the couch and my back has been hurting ever since.	tell me more about your back pain	True
When did this occur?	when did the pain start	The pain started about four or five days ago.	when did the pain start	True
Tell me about this pain	describe the pain	It's a dull ache right in the middle of my lower back.	describe the pain	True
Can you tell me more about this pain?	describe the pain	It's a dull ache right in the middle of my lower back.	describe the pain	True
Has it gotten any worse over time?	how intense is the pain	[ Fear2 ]It is pretty bad. My back hurts all the time and I can't even work.	how intense is the pain	True
I'm sorry to hear that. Tell me more about your work.	tell me more about your back pain	My buddy lives on the second floor in an apartment building.  We needed to bring everything down and there were only 3 of us.  I bent down to help lift the couch and my back has been hurting ever since.	tell me more about your back pain	True
Is this affecting work?	does the pain interfere with work	It is interfering with my ability to work. I have been off for the past three or four days.	does the pain interfere with work	True
How does this make you feel?	none	[ Pain2 ]Well I would be doing pretty well if my back weren't hurting so badly.	how are you	False
Tell me about work.	unknown	I'm afraid I don't understand that question.	none	False
Tell me about your family.	how is your family	My parents are fine but I have no brothers and sisters.	how is your family	True
Is there history of back pain?	does anyone in your family have back pain	I had some back pain about 4 or 5 years ago, but that was fine after one day and one tylenol.	have you had back pain before	False
Are you taking anything to alleviate the pain now?	what makes the pain better	I tried some ibuprofen, but I don't think that is helping very much.	what makes the pain better	True
Is there anything that is making it worse?	what makes the pain worse	[ Pain3 ]Bending down and moving makes it feel a lot worse.	what makes the pain worse	True
How is thie affecting your work?	does the pain interfere with work	I'm sorry, I don't understand that question. Would you restate it?	none	False
Is your back pain affecting your work?	does the pain interfere with work	It is interfering with my ability to work. I have been off for the past three or four days.	does the pain interfere with work	True
Are you worried about this?	what concerns you about the pain	I am not feeling that.	do you feel anxious	False
Is there anyhting else you would like to talk about?	any other problems	I'm afraid I don't understand that question.	none	False
Please tell me more about frequent urination.	describe the frequent urination	My buddy lives on the second floor in an apartment building.  We needed to bring everything down and there were only 3 of us.  I bent down to help lift the couch and my back has been hurting ever since.	tell me more about your back pain	False
Is there anything else you would like to talk about today?	any other problems	The occasional need to urinate more frequently AddTopic(~complaint2) # adds next complaint to interesting topics so when did that happen? goes to complaint2	any other problems	True
Thank you Mr. Wilkins, I will present this to the physician and be right back.	thanks	Mostly right in the middle.  Sometimes times if I twist to a side or something it seems worse on the side but most of the time it is just in the middle.	unknown	False
can you tell me more about this	tell me more about your back pain	My buddy lives on the second floor in an apartment building.  We needed to bring everything down and there were only 3 of us.  I bent down to help lift the couch and my back has been hurting ever since.	tell me more about your back pain	True
where is the pain located	where is the pain	It is mostly in my lower back.	where is the pain	True
what is the pain like	describe the pain	It's a dull ache right in the middle of my lower back.	describe the pain	True
how often do you get this pain	how frequent is the pain	It is there all the time, it hasn't really gone away since it first started.	how frequent is the pain	True
when did it start	when did the pain start	The pain started about four or five days ago.	when did the pain start	True
how severe is the pain	how intense is the pain	[ Fear2 ]It is pretty bad. My back hurts all the time and I can't even work.	how intense is the pain	True
what does the pain feel like	describe the pain	It's a dull ache right in the middle of my lower back.	describe the pain	True
where is the pain	where is the pain	It is mostly in my lower back.	where is the pain	True
how deep is the pain	how intense is the pain	[ Pain1 ]It hurts quite a bit now, although not as bad as when I twist or something.  Right now it is mostly stiff.	how is your pain now	False
#STARTDIALOGUE				
hi jim, what brings you in today	what brings you in today	I was hoping you could help me with my back pain, it really hurts! It has been awful.   I can barely even tie my shoes.	what brings you in today	True
can you tell me about your back pain	describe the pain	It's a dull ache right in the middle of my lower back.	describe the pain	True
can you paint a picture of what your day is like with this pain	do you have any pain	[ Pain3 ]My back is really hurting.  If it weren't for my back, I would be doing ok.	do you have any pain	True
when did the back pain start	when did the pain start	The pain started about four or five days ago.	when did the pain start	True
is there anything that helps or makes it worse	what makes the pain worse	[ Pain3 ]Bending down and moving makes it feel a lot worse.	what makes the pain worse	True
has anything helped with the pain	what makes the pain better	[ Sadness2 ]The only thing that seems to help some is ibuprofen, and that doesn't help all that much.	what makes the pain better	True
when does the pain occur	when do you have the pain	The pain started about four or five days ago.	when did the pain start	False
is there anything else	any other problems	The occasional need to urinate more frequently AddTopic(~complaint2) # adds next complaint to interesting topics so when did that happen? goes to complaint2	any other problems	True
ok im going to ask you about your past medical history	what is your past medical history	This back pain is really my first issue.	what is your past medical history	True
any high blood pressure?	how is your blood pressure	My blood pressure has been normal I think.  I know the doctor last year told me it was ok.  Hopefully it is ok now too.	how is your blood pressure	True
diabetes?	negative symptoms	No.	negative symptoms	True
do any illnesses run in the family	any family history of illness	I don't think so.	any family history of illness	True
do you smoke/drink?	do you smoke	I'm sorry, I don't understand that question. Would you restate it?	none	False
do you drink	do you drink	A beer or 2 at football games, or a glass of wine now and then. Nothing much more than that.	do you drink	True
are you married	are you married	I'm single.	are you married	True
are you currently romantically involved with anyone	are you dating anyone	I'm afraid I don't understand that question.	none	False
are you sexually active	are you sexually active	I am not currently  sexually active.	are you sexually active	True
ok mr wilkins thanks for your time	thanks	[ Happiness2 ]Thank you	thanks	True
is there anything else	any other problems	I can't think of anything.	any other problems	True
are you sure	unknown	Of course.	unknown	True
how does it make you feel	describe the pain	It's a dull ache right in the middle of my lower back.	describe the pain	True
#STARTDIALOGUE				
Hi Mr. Wilkins, my name is Tony Boualoy and I am a medical student and part of your healthcare team.	i am medical student	I like their chances this season, especially with that new freshman.	what do you think about the buckeyes	False
You seem nervous, is everything alright? 	are you nervous	Not really.	are you nervous	True
We have about 30 minutes today to talk about what brings you in. I also have a list of questions before we do a physical exam	do an exam now	Sounds good,  I hope you can tell me what is wrong.	do an exam now	True
What brings you in today, Mr. Wilkins?	what brings you in today	I was hoping you could help me with my back pain, it really hurts! It has been awful.   I can barely even tie my shoes.	what brings you in today	True
Anything else?	any other problems	The occasional need to urinate more frequently AddTopic(~complaint2) # adds next complaint to interesting topics so when did that happen? goes to complaint2	any other problems	True
Ok, so you are having back pain and trouble tying your shoes. If that is all, we will try to address that today	none	I'm sorry, I don't understand that question. Would you restate it?	none	True
Could you tell me more about your back pain? 	tell me more about your back pain	My buddy lives on the second floor in an apartment building.  We needed to bring everything down and there were only 3 of us.  I bent down to help lift the couch and my back has been hurting ever since.	tell me more about your back pain	True
Now I am going to ask you several questions to better understand why you have back pain, along iwth other questions I ask all of my patients	want to ask about	Sounds good.	want to ask about	True
Tell me more about what your back pain is like.	tell me more about your back pain	My buddy lives on the second floor in an apartment building.  We needed to bring everything down and there were only 3 of us.  I bent down to help lift the couch and my back has been hurting ever since.	tell me more about your back pain	True
When did the pain start?	when did the pain start	The pain started about four or five days ago.	when did the pain start	True
Where does the pain occur? 	where is the pain	It is mostly in my lower back.	where is the pain	True
Does the pain radiate? 	does the pain radiate	Not that I have noticed.  It pretty much just stays in my back.	does the pain radiate	True
What number would you give this pain you are describing? 	can you rate the pain	I'm afraid I don't understand that question.	none	False
On a scale of 1 to 10, with 1 being no pain and 10 being the worst you can imagine, what number would you give this pain you are describing?	can you rate the pain	I'm sorry, I don't understand that question. Would you restate it?	none	False
Does the pain occur constantly? 	is the pain constant	[ Fear2 ]It is pretty constant although sometimes it is a little better or worse.	is the pain constant	True
When is the pain worse? 	is the pain constant	[ Fear2 ]It is pretty bad. My back hurts all the time and I can't even work.	how intense is the pain	False
Are you experiencing any other symptoms? 	any other problems	I don't think so.	any other problems	True
Can you tell me about your other medical problems? 	any other problems	I don't.	any other problems	True
Do you take any medications? 	are you taking any medication	I have been taking ibuprofen for a few days.	are you taking any medication	True
Do you have any allergies to medication, food, or environmental material?	do you have any allergies	I am not allergic to anything that I know of.	do you have any allergies	True
Have you ever been hospitalized? 	have you ever been in the hospital	I avoid those places. I hope to avoid them all of my life.	have you ever been in the hospital	True
How old is your father? 	how old are your parents	My mom is 72 and my dad is 75.	how old are your parents	True
Are you parents healthy? 	are your parents healthy	Both of my parents are in good health.	are your parents healthy	True
