13	Hello Mr. Wilkins. How are you today?
38	I'm sorry to hear that your back is hurting!
8	Besides your back, is there anything else that you would like to talk about today?
179	Okay. We have about 15 minutes today to talk about your back pain and frequent urinations,. Does that plan sound good to you?
151	We have about 15 minutes together today, does that plan sound okay?
60	Great! Can you tell me more about your back pain?
2	How long ago was this?
10	Can you describe the pain for me?
180	Can you point to the spot on your back?
3	Is there anything that you do that makes the pain worse?
5	Is there anything that you do that makes the pain better?
265	Hello, my name is Student Doctor Janice
101	Can you confirm your first and last name for me?
55	Please verify your full name and date of birth
0	Thank you. So Mr. Wilkins, what brings you in today?
8	I'm so sorry to hear that. Is there anything else besides your foot you would like to discuss today?
60	So, tell me more about your foot pain
103	So you have back and foot pain. How long ago did this start?
5	Okay, and have you taken anything for the pain?
5	is there anything that makes the pain better?
3	I'm sorry to hear that. Is there anything that makes the pain worse?
30	Is this something that you have seen a doctor about before?
32	Have you had any past hospitilizations?
33	What about any immunizations?
135	Do you take any other medications except for the tylenol for pain?
74	Do you have any  allergies?
74	Do you know if you've had any allergic reactions to medications?
173	And how old are you?
37	How would you say your general health is, except your foot and back?
77	That's great. Can you tell me about any siblings? Age and their health?
77	What about your family? Any brothers and sisters?
222	How old is your mom and is she still alive?
40	What about your parents?
222	How old is your dad?
40	Do your mom or dad have any health problems? sicknesses? 
78	Great. What about any children? 
91	Are you married?
98	What about your grandparents on your dad's side?
98	What about your father's parents? 
81	Who do you live with?
57	Where do you work?
58	That's great. How is work? 
17	I'm sorry to hear, that must be very tough
119	What about your diet?
19	That's great. Just a couple salads here and there could help
47	What about your physical activity?
50	Great. Do you smoke cigarretes? 
48	Good. What about alcohol? 
49	Do you do any drugs like marijuana?
52	Great. Are you sexually active?
93	How many partners have you had in the past?
182	I mean ever
182	How many sexual partners have you had in your life?
182	Yes, how many sexual partners have you ever had?
51	Generally, would you consider yourself a happy person?
45	What do you do for fun?
25	Good. When you are stressed, how do you handle it?
84	Great. Well that's all my questions, do you have any questions for me?
54	Thank you for your time! I'll take these to the doctor
265	Hello, my name is student doctor Janice
55	Can you confirm your full name and date of birth?
0	What brings you in today, Mr. Wilkins?
180	Oh that sounds terrible. Can you show me where on your back it hurts?
2	When did this pain start?
103	What were you doing when it started
104	Does the pain move anywhere or does it stay in your lower back
10	Is it deep inside or kind of on the surface pain?
10	Is it deep or superficial pain?
182	Is there anything unusual that you notice about the pain?
24	If you had to rate your pain on a scale of 1 to 10, 10 being the worst, how would you rate your pain
67	Oh, you take ibuprofen? How often do you take it
67	How often do you take ibuprofen?
150	Has that helped the pain?
134	Has the pain been getting better, worse, or staying the same?
271	How much of a dosage are you taking for the ibuprofen?
3	Is there anything that makes the pain worse?
3	Is there anything that makes the pain worse?
5	Does anything make it better?
3	Does anythign make it worse?
9	Do you have any other symptoms besides the pain?
20	Okay, I'm going to ask you about your past history to get a better understanding abut your health
37	How would you say your general healt is, except for your current back?
37	How would you say your general health is?
31	Have you had any past surgeries?
32	What about any past hospitilizations? 
39	Are there any other medical problems that a doctor has treated you for?
74	Do you have any environmental allergies? 
74	Do you have any allergies to medcations?
74	Have you had any bad reactions to medications?
39	What about any childhood illnesses?
123	What about any major injuries?
6	Do you take any other medicine?
167	hi I am ZHeng Hong Tan, a med sctudent part of your health care team
55	Can I have your full name and date of birth?
297	How has your day been?
45	Dones anything fun lately?
182	I love football, who do you root for?
0	Awesome! So what can I do for you today?
38	Oh. I'm so sorry to hear about that. It sounds awful
8	Your back pain is something that we'll address later but I was wondering if you have any other questions or concerns for this visit?
14	Hello Mr. Wilkins, how was your drive over this afternoon?
8	Well Mr. Wilkins, we have 10 minutes to talk about your back pain today. Is there anything else that you would like to discuss?
60	Please tell me more about this
2	When did this occur?
10	Tell me about this pain
10	Can you tell me more about this pain?
61	Has it gotten any worse over time?
60	I'm sorry to hear that. Tell me more about your work.
69	Is this affecting work?
182	How does this make you feel?
359	Tell me about work.
87	Tell me about your family.
162	Is there history of back pain?
5	Are you taking anything to alleviate the pain now?
3	Is there anything that is making it worse?
69	How is thie affecting your work?
69	Is your back pain affecting your work?
28	Are you worried about this?
8	Is there anyhting else you would like to talk about?
86	Please tell me more about frequent urination.
8	Is there anything else you would like to talk about today?
72	Thank you Mr. Wilkins, I will present this to the physician and be right back.
60	can you tell me more about this
1	where is the pain located
10	what is the pain like
268	how often do you get this pain
2	when did it start
61	how severe is the pain
10	what does the pain feel like
1	where is the pain
61	how deep is the pain
0	hi jim, what brings you in today
10	can you tell me about your back pain
21	can you paint a picture of what your day is like with this pain
2	when did the back pain start
3	is there anything that helps or makes it worse
5	has anything helped with the pain
239	when does the pain occur
8	is there anything else
29	ok im going to ask you about your past medical history
109	any high blood pressure?
360	diabetes?
75	do any illnesses run in the family
50	do you smoke/drink?
48	do you drink
91	are you married
82	are you currently romantically involved with anyone
52	are you sexually active
72	ok mr wilkins thanks for your time
8	is there anything else
359	are you sure
10	how does it make you feel
15	Hi Mr. Wilkins, my name is Tony Boualoy and I am a medical student and part of your healthcare team.
338	You seem nervous, is everything alright? 
121	We have about 30 minutes today to talk about what brings you in. I also have a list of questions before we do a physical exam
0	What brings you in today, Mr. Wilkins?
8	Anything else?
182	Ok, so you are having back pain and trouble tying your shoes. If that is all, we will try to address that today
60	Could you tell me more about your back pain? 
167	Now I am going to ask you several questions to better understand why you have back pain, along iwth other questions I ask all of my patients
60	Tell me more about what your back pain is like.
2	When did the pain start?
1	Where does the pain occur? 
11	Does the pain radiate? 
