13	Hi, Mr. Wilkins, how are you today?
8	Yeah I can imagine, and I am sorry your back is hurting. Let's see if we can work together to get that sorted out. But first, is there anything else you would liek to discuss today aside from the back pain?
60	Okay so we will address your need to urinate frequently as well. Can you tell me more about these issues?
10	I see. I am sure that doesn't make your ability to function each day easy. Can you describe the pain for me, please? 
9	Does that pain travel to any other parts of your body?
182	So it is isolated to your lower back and doesn't shoot down either leg?
180	Would you be able to point to where exactly in the middle you feel the pain?
3	Is there any specific type of movement, twisting, bending, walking, etc., that makes it worse?
282	I see, and how has that been inhibiting your daily function?
282	How does your back pain restrict your daily activity?
148	I am sorry. Not working has to be tough on you. 
5	I can imagine not. Have you tried anything to aleviate the pain?
250	Got it, any other remedies that you have tried?
175	Do you have anyone at the house who has been able to help you since hurt your back?
81	Are they living with you or just coming over throughout the day?
182	Okay, and do you feel like your friends and family are reliable sources of assitance for you?
182	So as we move forward with your treatment do you feel they would be able to help you get from place to place and run errands for you?
8	Okay, and is there anything else you want to tell me about your back pain before we talk about your frequent urination?
359	Do you remember what might have caused that back pain?
182	Is there any reason you have not tried extra strength tylenol this time, and only tried iburofen?
162	Okay, and have you had any family history of back pain?
60	Okay, and now can you tell me more about your concern with your urination?
182	Do you have any family history of prostate cancer?
98	Why don't you know much about your grandparents?
38	I am sorry to hear that.
182	Now, you said you lived alone but were close with your friends. Have you ever been previously married?
182	Have you ever been married?
207	Okay, now I am going to ask some more directed personal questions that I ask all patients just to get a more complete understanding of your social history.
48	When you and your friends go out do you ever smoke or drink?
50	Do you smoke?
48	Good, and do you ever drink alcohol?
49	Great, and any history of drug or substance use?
49	Have you ever experimented with any drugs?
49	Do you do drugs
182	Well thats great, do you feel you and your friends all share that same belief?
82	Are you seeing anybody?
52	Are you currently sexually active?
8	Okay, and is there anything else at all that hasn't come up that you would like t odiscuss before I go talk with the doctor?
182	What would that be?
18	Is there anything else you would like to discuss?
54	Absolutely! It was my pleasure to see you today, and I will go collaborate with the doctor to see whatwe can do for your back pain.
14	Hello Mr. Wilkins
359	Is there a different name you would like me to call you by?
0	What brings you in today?
60	Tell me more about your back pain?
180	Could you point to where on your back the pain is coming from?
11	Does the pain radiate anywhere else?
24	On a scale of 1-10 with 1 being no pain and 10 being the worst pain you have felt what is this?
160	Do you take anything else to help with your back pain?
6	Any other medications?
3	Anything you do that makes the pain worse?
3	Do you do anything that makes the back pain worse?
8	Is there anything else bothering you other than your back pain?
172	When did this start?
8	Ok and did you want to discuss anything else?
176	Ok is there any past medical history of back pain or urine problems?
30	Is there any history of back pain?
6	Do you take any other medication than the baby aspirin?
142	Any surgeries or chronic conditions I should know about?
162	Do you have a family history of back pain?
40	Are both of your parents healthy?
75	Have they had any history of disease?
273	Are your siblings healthy?
98	How about your grandparents?
182	Do you know what condition they had effected their health?
359	Are you experiencing any vision problems?
211	Headaches?
39	Any sensory problems?
80	Any difficulty with digestion?
125	Do you have problems with your stool?
215	Any chest pain?
80	Any difficulty breathing?
217	Any join pain?
217	Do you have any pain in your joints?
126	Any difficulty with muscle aching?
360	Any toothaches?
214	Any problems in the mouth>
